id,name,description,demonstration_video_url,workout_day_id,animation_path,calories_per_set,default_duration,default_reps,default_sets,calories_per_minute,week,program_id
1,Planks,Precision-engineered Planks training method to optimize muscular strength and endurance.,https://example.com/planks,1,https://example.com/planks-animation.jpg,951.95,390,15,2,4.88,1,1
2,Ab Rollouts,Dynamic Ab Rollouts workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/ab-rollouts,1,https://example.com/ab-rollouts-animation.jpg,489.22,361,13,3,4.07,1,1
3,Hanging Leg Raises,"Strategically crafted Hanging Leg Raises exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/hanging-leg-raises,1,https://example.com/hanging-leg-raises-animation.jpg,586.35,419,12,3,4.2,1,1
4,Tai Chi Movements,High-energy Tai Chi Movements routine targeting comprehensive physical development and performance.,https://example.com/tai-chi-movements,1,https://example.com/tai-chi-movements-animation.jpg,1473.65,535,15,2,5.51,1,1
5,Dynamic Stretching,Intense Dynamic Stretching session focusing on full-body engagement and cardiovascular endurance.,https://example.com/dynamic-stretching,1,https://example.com/dynamic-stretching-animation.jpg,589.61,435,11,3,4.07,1,1
6,Joint Mobility Exercises,"Strategically crafted Joint Mobility Exercises exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/joint-mobility-exercises,2,https://example.com/joint-mobility-exercises-animation.jpg,643.03,360,13,3,5.36,1,1
7,Mountain Climbers,Intense Mountain Climbers session focusing on full-body engagement and cardiovascular endurance.,https://example.com/mountain-climbers,2,https://example.com/mountain-climbers-animation.jpg,477.58,339,13,3,4.23,1,1
8,Pilates,High-energy Pilates routine targeting comprehensive physical development and performance.,https://example.com/pilates,2,https://example.com/pilates-animation.jpg,547.93,380,12,3,4.33,1,1
9,Swimming,Dynamic Swimming workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/swimming,2,https://example.com/swimming-animation.jpg,936.24,375,10,2,4.99,1,1
10,Cross-Training Circuits,High-energy Cross-Training Circuits routine targeting comprehensive physical development and performance.,https://example.com/cross-training-circuits,2,https://example.com/cross-training-circuits-animation.jpg,1193.41,414,14,2,5.77,1,1
11,TRX Suspension Training,Precision-engineered TRX Suspension Training training method to optimize muscular strength and endurance.,https://example.com/trx-suspension-training,3,https://example.com/trx-suspension-training-animation.jpg,1568.24,561,11,2,5.59,1,1
12,Wall Sits,Precision-engineered Wall Sits training method to optimize muscular strength and endurance.,https://example.com/wall-sits,3,https://example.com/wall-sits-animation.jpg,753.88,427,11,3,5.3,1,1
13,Crunches,High-energy Crunches routine targeting comprehensive physical development and performance.,https://example.com/crunches,3,https://example.com/crunches-animation.jpg,960.15,477,13,2,4.03,1,1
14,Rowing,"Strategically crafted Rowing exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/rowing,3,https://example.com/rowing-animation.jpg,875.31,487,13,3,5.39,1,1
15,Oblique Twists,Dynamic Oblique Twists workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/oblique-twists,3,https://example.com/oblique-twists-animation.jpg,445.73,315,10,3,4.25,1,1
16,Plank Variations,Intense Plank Variations session focusing on full-body engagement and cardiovascular endurance.,https://example.com/plank-variations,4,https://example.com/plank-variations-animation.jpg,1153.78,505,11,2,4.57,1,1
17,Resistance Band Exercises,Intense Resistance Band Exercises session focusing on full-body engagement and cardiovascular endurance.,https://example.com/resistance-band-exercises,4,https://example.com/resistance-band-exercises-animation.jpg,1001.79,564,15,3,5.33,1,1
18,Rowing,"Strategically crafted Rowing exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/rowing,4,https://example.com/rowing-animation.jpg,811.64,483,12,3,5.04,1,1
19,Oblique Twists,"Strategically crafted Oblique Twists exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/oblique-twists,4,https://example.com/oblique-twists-animation.jpg,717.23,528,12,3,4.08,1,1
20,Dips,Intense Dips session focusing on full-body engagement and cardiovascular endurance.,https://example.com/dips,4,https://example.com/dips-animation.jpg,622.98,325,12,3,5.75,1,1
21,Leg Raises,Dynamic Leg Raises workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/leg-raises,5,https://example.com/leg-raises-animation.jpg,767.27,499,15,3,4.61,1,1
22,Leg Press,"Strategically crafted Leg Press exercise to enhance strength, flexibility, and metabolic conditioning.",https://example.com/leg-press,5,https://example.com/leg-press-animation.jpg,1572.03,529,15,2,5.94,1,1
23,Dynamic Stretching,Dynamic Dynamic Stretching workout designed to challenge multiple muscle groups and improve overall fitness.,https://example.com/dynamic-stretching,5,https://example.com/dynamic-stretching-animation.jpg,866.07,597,13,3,4.35,1,1
24,Rowing,Intense Rowing session focusing on full-body engagement and cardiovascular endurance.,https://example.com/rowing,5,https://example.com/rowing-animation.jpg,602.55,365,13,3,4.95,1,1
25,Yoga Flow,High-energy Yoga Flow routine targeting comprehensive physical development and performance.,https://example.com/yoga-flow,5,https://example.com/yoga-flow-animation.jpg,1341.16,564,12,2,4.76,1,1
